Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
Run,Terminal Iteration
0,2
1,2
