Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

Unfairness weight,Local cost weight,Global cost weight
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0

